ITEM_CATEGORY_NAME,ITEM_SUBCATEGORY_NAME,ITEM_CLASS_NAME,PRODUCT_COUNTRY_ORIGIN_NAME,PRODUCT_SKU_NO,PRODUCT_LONG_NAME,PRODUCT_BASE_UPC_NO,PRODUCT_LITRES_PER_CONTAINER,PRD_CONTAINER_PER_SELL_UNIT,PRODUCT_ALCOHOL_PERCENT,PRODUCT_PRICE,SWEETNESS_CODE
Spirits,Whisky,Canadian Whisky,CANADA,9043,CROWN ROYAL,87000007604,0.375,1,40,17.69,NA
Wine,Italy Wine,Italy White Wine,ITALY,24422,VERDICCHIO DEI CASTELLI DI JESI CLASSICO - FAZI BATTAGLIA TI,632741102011,0.75,1,12.5,23.99,0
Wine,France Wine,France Red Wine,FRANCE,155689,CHATEAU CHEVAL BLANC 2009,,0.75,1,13,2000,0
Wine,Other Country Wine,Other Country Rose Wine,MOROCCO,221595,ZENATA ROSE - THALVIN GRAILLOT TANDEM,6111132001323,0.75,1,13,26.99,0
Wine,South Africa Wine,South Africa White Wine,SOUTH AFRICA,245595,VIN DE CONSTANCE - KLEIN CONSTANTIA 2020,696852161350,1.5,1,13.5,365.99,NA
Spirits,Whisky,Bourbon Whiskey,UNITED STATES OF AMERICA,314781,BAKER'S - BOURBON,80686015406,0.75,1,53.5,95.99,NA
Wine,France Wine,France Red Wine,FRANCE,345579,CLOS DE VOUGEOT - JC BOISSET,3260980015204,0.75,1,14,470.99,0
Refreshment Beverages,Coolers,Spirit Coolers,CANADA,353990,REMIX - VODKA SODA BLACKBERRY MANGO CAN,628882001696,0.355,6,5,14.49,NA
Wine,France Wine,France White Wine,FRANCE,389489,SAUTERNES - CHATEAU SIGALAS RABAUD 2019,3277038416067,0.75,1,13,120,NA
Wine,France Wine,France Red Wine,FRANCE,434186,ST JULIEN - CHATEAU DU GLANA 2021,3609051259688,0.75,1,13,60,NA
Wine,France Wine,France White Wine,FRANCE,440336,PESSAC LEOGNAN - CHATEAU OLIVIER BLANC 2021,3760072796412,0.75,1,13,70,NA
Wine,France Wine,France Red Wine,FRANCE,450195,PAUILLAC - CHATEAU LAFITE ROTHSCHILD 2021,,0.75,1,13,1600,NA
Wine,France Wine,France Red Wine,FRANCE,491525,TOURAINE - HENRY MARIONNET RENAISSANCE GAMAY,3510170000276,0.75,1,13.5,43.99,0
Wine,Canada - BC,Canada - BC Red Wine,CANADA,762674,FOXTROT - PINOT NOIR THE WALTZ 2019,626990141358,0.75,1,13.1,51.99,0
Spirits,Asian Spirits,China Spirits,CHINA,791764,SHAANXI XIFENG LIQUOR CO - XIFENG,6902212016890,0.5,1,55,38.99,NA
Wine,Canada - BC,Canada - BC Ice Wine,CANADA,889378,BENCH 1775 - BLISS ICEWINE,626990194781,0.375,1,11,70.99,10
Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,43024,NAPA VALLEY RED - OPUS ONE 2017,626990467502,0.75,1,14,599,NA
Wine,France Wine,France Red Wine,FRANCE,64507,ERMITAGE - CHAPOUTIER L'ERMITE 2015,3391181941532,0.75,1,14,379.99,0
Wine,Canada - BC,Canada - BC Red Wine,CANADA,180976,OSOYOOS LAROSE - LE GRAND VIN 2018,871610003183,6,1,13.5,479.99,0
Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,263418,MERLOT - COLUMBIA CREST GRAND ESTATES,88586402845,0.75,1,14.5,21.99,0
Spirits,Whisky,Other Country Whisky,JAPAN,327070,THE HAKUSHU - PEATED MALT 18 YEARS OLD,80686007982,0.7,1,48,1400,NA
Wine,Spain Wine,Spain White Wine,SPAIN,341167,3 RIBERAS BLANCO - CHIVITE LAS FINCAS,8410062717310,0.75,1,13.5,39.99,0
