year,cancerType,cases,deaths,deathsPerMillion,mortalityRate
1999,Breast,185254,41528,149,0.22
1999,Prostate,184722,31728,114,0.17
1999,Lung and Bronchus,176551,152061,545,0.86
1999,Colon and Rectum,140888,57222,205,0.41
1999,Urinary Bladder,55174,11910, 43,0.22
1999,Melanoma of the Skin,38290,7215, 26,0.19
1999,Non-Hodgkin Lymphoma,48483,22802, 82,0.47
1999,Kidney and Renal Pelvis,30669,11116, 40,0.36
1999,Corpus Uteri,31982,3121, 11,0.098
1999,Thyroid,17179,1241,4.4,0.072
1999,Leukemias,32265,21071, 76,0.65
1999,Pancreas,29081,27594, 99,0.95
1999,Oral Cavity and Pharynx,27087,7486, 27,0.28
1999,Liver,10381,9830, 35,0.95
1999,Stomach,19092,12711, 46,0.67
1999,Brain and Other Nervous System,17359,12765, 46,0.74
1999,Myeloma,13989,10508, 38,0.75
1999,Ovary,19588,13627, 49,0.7
1999,Esophagus,12532,11917, 43,0.95
1999,Larynx,11511,3815, 14,0.33
1999,Cervix Uteri,12782,4204, 15,0.33
1999,Gallbladder,3066,2059,7.4,0.67
2000,Breast,189083,42300,150,0.22
2000,Prostate,194123,31078,110,0.16
2000,Lung and Bronchus,182369,155426,551,0.85
2000,Colon and Rectum,145413,57434,204,0.39
2000,Urinary Bladder,57433,12002, 43,0.21
2000,Melanoma of the Skin,42250,7420, 26,0.18
2000,Non-Hodgkin Lymphoma,50004,22729, 81,0.45
2000,Kidney and Renal Pelvis,33122,11736, 42,0.35
2000,Corpus Uteri,32639,3139, 11,0.096
2000,Thyroid,19524,1328,4.7,0.068
2000,Leukemias,34754,21397, 76,0.62
2000,Pancreas,29331,29072,103,0.99
2000,Oral Cavity and Pharynx,28264,7492, 27,0.27
2000,Liver,11465,10192, 36,0.89
2000,Stomach,19410,12645, 45,0.65
2000,Brain and Other Nervous System,17979,12655, 45,0.7
2000,Myeloma,14994,10639, 38,0.71
2000,Ovary,20532,14060, 50,0.68
2000,Esophagus,13051,12232, 43,0.94
2000,Larynx,11668,3861, 14,0.33
2000,Cervix Uteri,13144,4200, 15,0.32
2000,Gallbladder,3013,1949,6.9,0.65
2001,Breast,189070,41809,147,0.22
2001,Prostate,197674,30719,108,0.16
2001,Lung and Bronchus,183491,155969,547,0.85
2001,Colon and Rectum,143642,56808,199,0.4
2001,Urinary Bladder,57317,12225, 43,0.21
2001,Melanoma of the Skin,44824,7542, 26,0.17
2001,Non-Hodgkin Lymphoma,50806,22305, 78,0.44
2001,Kidney and Renal Pelvis,34846,12078, 42,0.35
2001,Corpus Uteri,33657,3185, 11,0.095
2001,Thyroid,20541,1354,4.8,0.066
2001,Leukemias,35404,21532, 76,0.61
2001,Pancreas,29802,29425,103,0.99
2001,Oral Cavity and Pharynx,28263,7701, 27,0.27
2001,Liver,12016,10489, 37,0.87
2001,Stomach,19141,12319, 43,0.64
2001,Brain and Other Nervous System,17748,12609, 44,0.71
2001,Myeloma,15233,10714, 38,0.7
2001,Ovary,20383,14414, 51,0.71
2001,Esophagus,13031,12529, 44,0.96
